,com_code,Nom,population,forêt,K2,densité population,densité de foret,temperature,humidity,weather_description,code_dep
282,78361,Mantes-la-Jolie,44724,0,"11,01193258",4061,0,"18,37",87,overcast clouds,78
283,78362,Mantes-la-Ville,21565,0,"7,238732775",2979,0,"17,88",74,overcast clouds,78
284,78423,Montigny-le-Bretonneux,32252,2423,"12,40009456",2601,195,"17,25",74,broken clouds,78
285,78440,Les Mureaux,34142,0,"14,3603208",2378,0,"18,14",71,clear sky,78
286,78490,Plaisir,31716,0,"20,30848726",1562,0,"17,52",75,broken clouds,78
287,78498,Poissy,40312,29104,"14,93589856",2699,1949,"18,1",72,clear sky,78
288,78517,Rambouillet,27344,15042781,"41,11814231",665,365843,"17,26",79,overcast clouds,78
289,78545,Saint-Cyr-l'École,21548,0,"5,87966662",3665,0,"17,44",73,broken clouds,78
290,78551,Saint-Germain-en-Laye,46104,653940,"57,20963888",806,11431,"17,8",72,broken clouds,78
291,78586,Sartrouville,51617,0,"9,784223473",5276,0,"17,98",70,broken clouds,78
292,78621,Trappes,33813,115560,"15,73711881",2149,7343,"17,23",75,broken clouds,78
293,78640,Vélizy-Villacoublay,22914,22158,"10,35623036",2213,2140,"17,22",70,broken clouds,78
294,78646,Versailles,85407,260784,"30,04118591",2843,8681,"17,45",70,broken clouds,78
295,79049,Bressuire,20837,0,"194,8835357",107,0,"16,85",83,overcast clouds,79
296,79191,Niort,61158,0,"71,80962083",852,0,"18,43",82,overcast clouds,79
297,80001,Abbeville,23001,0,"32,03553859",718,0,"15,46",89,overcast clouds,80
298,80021,Amiens,136265,0,"60,61681696",2248,0,"15,28",85,overcast clouds,80
299,81004,Albi,51317,12782,"43,39117697",1183,295,"18,59",75,broken clouds,81
300,81065,Castres,44061,0,"94,13638417",468,0,"18,08",50,clear sky,81
301,82121,Montauban,63382,7888,"131,5064308",482,60,"17,96",69,overcast clouds,82
302,83050,Draguignan,40638,1308480,"51,36197707",791,25476,"21,67",46,clear sky,83
303,83061,Fréjus,57937,2983995,"99,64184348",581,29947,"22,08",61,clear sky,83
304,83062,La Garde,26197,0,"14,82094273",1768,0,"19,79",52,clear sky,83
